2022-10-26  14:21:36 - fundSpider.py[line:451] - ERROR: 数据库配置信息缺失！
2022-10-26  14:21:36 - fundSpider.py[line:452] - INFO: 输入'#'使用默认数据库配置信息，输入其他退出程序:
2022-10-26  14:21:38 - fundSpider.py[line:213] - INFO: 当日数据清理完毕
2022-10-26  14:21:38 - fundSpider.py[line:472] - INFO: 【数据库初始化完成，开始爬取投顾策略信息】
2022-10-26  14:21:38 - fundSpider.py[line:32] - INFO: 投顾产品总数：28
2022-10-26  14:21:38 - fundSpider.py[line:106] - INFO: 开始爬取南方基金管理股份有限公司的投顾策略...
2022-10-26  14:21:38 - fundSpider.py[line:113] - INFO: 爬取南方基金管理股份有限公司旗下共计25条投顾策略...
2022-10-26  14:21:38 - fundSpider.py[line:264] - INFO: 	司南绝对收益组合基本信息爬取成功
2022-10-26  14:21:38 - fundSpider.py[line:314] - INFO: 	司南绝对收益组合区间收益信息爬取成功
2022-10-26  14:21:38 - fundSpider.py[line:324] - WARNING: 司南绝对收益组合无持仓分布详细信息
2022-10-26  14:21:38 - fundSpider.py[line:378] - INFO: 	司南绝对收益组合调仓历史信息爬取成功
2022-10-26  14:21:38 - fundSpider.py[line:400] - INFO: 	司南绝对收益组合备选基金信息入库成功
2022-10-26  14:21:38 - fundSpider.py[line:420] - INFO: 	司南绝对收益组合日收益信息入库成功

2022-10-26  14:21:39 - fundSpider.py[line:264] - INFO: 	司南股债平衡组合基本信息爬取成功
2022-10-26  14:21:39 - fundSpider.py[line:314] - INFO: 	司南股债平衡组合区间收益信息爬取成功
2022-10-26  14:21:39 - fundSpider.py[line:324] - WARNING: 司南股债平衡组合无持仓分布详细信息
2022-10-26  14:21:39 - fundSpider.py[line:378] - INFO: 	司南股债平衡组合调仓历史信息爬取成功
2022-10-26  14:21:39 - fundSpider.py[line:400] - INFO: 	司南股债平衡组合备选基金信息入库成功
2022-10-26  14:21:39 - fundSpider.py[line:420] - INFO: 	司南股债平衡组合日收益信息入库成功

2022-10-26  14:21:40 - fundSpider.py[line:264] - INFO: 	司南多因子成长组合基本信息爬取成功
2022-10-26  14:21:40 - fundSpider.py[line:314] - INFO: 	司南多因子成长组合区间收益信息爬取成功
2022-10-26  14:21:40 - fundSpider.py[line:324] - WARNING: 司南多因子成长组合无持仓分布详细信息
2022-10-26  14:21:40 - fundSpider.py[line:378] - INFO: 	司南多因子成长组合调仓历史信息爬取成功
2022-10-26  14:21:40 - fundSpider.py[line:400] - INFO: 	司南多因子成长组合备选基金信息入库成功
2022-10-26  14:21:40 - fundSpider.py[line:420] - INFO: 	司南多因子成长组合日收益信息入库成功

2022-10-26  14:21:40 - fundSpider.py[line:264] - INFO: 	司南股债平衡蓝筹组合基本信息爬取成功
2022-10-26  14:21:40 - fundSpider.py[line:314] - INFO: 	司南股债平衡蓝筹组合区间收益信息爬取成功
2022-10-26  14:21:40 - fundSpider.py[line:324] - WARNING: 司南股债平衡蓝筹组合无持仓分布详细信息
2022-10-26  14:21:40 - fundSpider.py[line:378] - INFO: 	司南股债平衡蓝筹组合调仓历史信息爬取成功
2022-10-26  14:21:40 - fundSpider.py[line:400] - INFO: 	司南股债平衡蓝筹组合备选基金信息入库成功
2022-10-26  14:21:40 - fundSpider.py[line:420] - INFO: 	司南股债平衡蓝筹组合日收益信息入库成功

2022-10-26  14:21:41 - fundSpider.py[line:264] - INFO: 	司南股债积极蓝筹组合基本信息爬取成功
2022-10-26  14:21:41 - fundSpider.py[line:314] - INFO: 	司南股债积极蓝筹组合区间收益信息爬取成功
2022-10-26  14:21:41 - fundSpider.py[line:324] - WARNING: 司南股债积极蓝筹组合无持仓分布详细信息
2022-10-26  14:21:41 - fundSpider.py[line:378] - INFO: 	司南股债积极蓝筹组合调仓历史信息爬取成功
2022-10-26  14:21:41 - fundSpider.py[line:400] - INFO: 	司南股债积极蓝筹组合备选基金信息入库成功
2022-10-26  14:21:41 - fundSpider.py[line:420] - INFO: 	司南股债积极蓝筹组合日收益信息入库成功

2022-10-26  14:21:41 - fundSpider.py[line:264] - INFO: 	司南股债稳健蓝筹组合基本信息爬取成功
2022-10-26  14:21:41 - fundSpider.py[line:314] - INFO: 	司南股债稳健蓝筹组合区间收益信息爬取成功
2022-10-26  14:21:41 - fundSpider.py[line:324] - WARNING: 司南股债稳健蓝筹组合无持仓分布详细信息
2022-10-26  14:21:41 - fundSpider.py[line:378] - INFO: 	司南股债稳健蓝筹组合调仓历史信息爬取成功
2022-10-26  14:21:41 - fundSpider.py[line:400] - INFO: 	司南股债稳健蓝筹组合备选基金信息入库成功
2022-10-26  14:21:41 - fundSpider.py[line:420] - INFO: 	司南股债稳健蓝筹组合日收益信息入库成功

2022-10-26  14:21:42 - fundSpider.py[line:264] - INFO: 	司南科技基金精选基本信息爬取成功
2022-10-26  14:21:42 - fundSpider.py[line:314] - INFO: 	司南科技基金精选区间收益信息爬取成功
2022-10-26  14:21:42 - fundSpider.py[line:324] - WARNING: 司南科技基金精选无持仓分布详细信息
2022-10-26  14:21:42 - fundSpider.py[line:378] - INFO: 	司南科技基金精选调仓历史信息爬取成功
2022-10-26  14:21:42 - fundSpider.py[line:400] - INFO: 	司南科技基金精选备选基金信息入库成功
2022-10-26  14:21:42 - fundSpider.py[line:420] - INFO: 	司南科技基金精选日收益信息入库成功

2022-10-26  14:21:43 - fundSpider.py[line:264] - INFO: 	司南医药基金精选基本信息爬取成功
2022-10-26  14:21:43 - fundSpider.py[line:314] - INFO: 	司南医药基金精选区间收益信息爬取成功
2022-10-26  14:21:43 - fundSpider.py[line:324] - WARNING: 司南医药基金精选无持仓分布详细信息
2022-10-26  14:21:43 - fundSpider.py[line:378] - INFO: 	司南医药基金精选调仓历史信息爬取成功
2022-10-26  14:21:43 - fundSpider.py[line:400] - INFO: 	司南医药基金精选备选基金信息入库成功
2022-10-26  14:21:43 - fundSpider.py[line:420] - INFO: 	司南医药基金精选日收益信息入库成功

2022-10-26  14:21:43 - fundSpider.py[line:264] - INFO: 	司南消费基金精选基本信息爬取成功
2022-10-26  14:21:43 - fundSpider.py[line:314] - INFO: 	司南消费基金精选区间收益信息爬取成功
2022-10-26  14:21:43 - fundSpider.py[line:324] - WARNING: 司南消费基金精选无持仓分布详细信息
2022-10-26  14:21:43 - fundSpider.py[line:378] - INFO: 	司南消费基金精选调仓历史信息爬取成功
2022-10-26  14:21:43 - fundSpider.py[line:400] - INFO: 	司南消费基金精选备选基金信息入库成功
2022-10-26  14:21:43 - fundSpider.py[line:420] - INFO: 	司南消费基金精选日收益信息入库成功

2022-10-26  14:21:44 - fundSpider.py[line:264] - INFO: 	司南股债进取蓝筹组合基本信息爬取成功
2022-10-26  14:21:44 - fundSpider.py[line:314] - INFO: 	司南股债进取蓝筹组合区间收益信息爬取成功
2022-10-26  14:21:44 - fundSpider.py[line:324] - WARNING: 司南股债进取蓝筹组合无持仓分布详细信息
2022-10-26  14:21:44 - fundSpider.py[line:378] - INFO: 	司南股债进取蓝筹组合调仓历史信息爬取成功
2022-10-26  14:21:44 - fundSpider.py[line:400] - INFO: 	司南股债进取蓝筹组合备选基金信息入库成功
2022-10-26  14:21:44 - fundSpider.py[line:420] - INFO: 	司南股债进取蓝筹组合日收益信息入库成功

2022-10-26  14:21:44 - fundSpider.py[line:264] - INFO: 	司南月利宝组合基本信息爬取成功
2022-10-26  14:21:44 - fundSpider.py[line:314] - INFO: 	司南月利宝组合区间收益信息爬取成功
2022-10-26  14:21:44 - fundSpider.py[line:324] - WARNING: 司南月利宝组合无持仓分布详细信息
2022-10-26  14:21:44 - fundSpider.py[line:378] - INFO: 	司南月利宝组合调仓历史信息爬取成功
2022-10-26  14:21:44 - fundSpider.py[line:400] - INFO: 	司南月利宝组合备选基金信息入库成功
2022-10-26  14:21:44 - fundSpider.py[line:420] - INFO: 	司南月利宝组合日收益信息入库成功

2022-10-26  14:21:45 - fundSpider.py[line:264] - INFO: 	司南军工基金精选基本信息爬取成功
2022-10-26  14:21:45 - fundSpider.py[line:314] - INFO: 	司南军工基金精选区间收益信息爬取成功
2022-10-26  14:21:45 - fundSpider.py[line:324] - WARNING: 司南军工基金精选无持仓分布详细信息
2022-10-26  14:21:45 - fundSpider.py[line:378] - INFO: 	司南军工基金精选调仓历史信息爬取成功
2022-10-26  14:21:45 - fundSpider.py[line:384] - WARNING: 司南军工基金精选备选基金信息缺失
2022-10-26  14:21:45 - fundSpider.py[line:420] - INFO: 	司南军工基金精选日收益信息入库成功

2022-10-26  14:21:45 - fundSpider.py[line:264] - INFO: 	司南新能源基金精选基本信息爬取成功
2022-10-26  14:21:45 - fundSpider.py[line:314] - INFO: 	司南新能源基金精选区间收益信息爬取成功
2022-10-26  14:21:45 - fundSpider.py[line:324] - WARNING: 司南新能源基金精选无持仓分布详细信息
2022-10-26  14:21:45 - fundSpider.py[line:378] - INFO: 	司南新能源基金精选调仓历史信息爬取成功
2022-10-26  14:21:45 - fundSpider.py[line:400] - INFO: 	司南新能源基金精选备选基金信息入库成功
2022-10-26  14:21:45 - fundSpider.py[line:420] - INFO: 	司南新能源基金精选日收益信息入库成功

2022-10-26  14:21:46 - fundSpider.py[line:264] - INFO: 	司南多因子蓝筹组合基本信息爬取成功
2022-10-26  14:21:46 - fundSpider.py[line:314] - INFO: 	司南多因子蓝筹组合区间收益信息爬取成功
2022-10-26  14:21:46 - fundSpider.py[line:324] - WARNING: 司南多因子蓝筹组合无持仓分布详细信息
2022-10-26  14:21:46 - fundSpider.py[line:378] - INFO: 	司南多因子蓝筹组合调仓历史信息爬取成功
2022-10-26  14:21:46 - fundSpider.py[line:400] - INFO: 	司南多因子蓝筹组合备选基金信息入库成功
2022-10-26  14:21:46 - fundSpider.py[line:420] - INFO: 	司南多因子蓝筹组合日收益信息入库成功

2022-10-26  14:21:46 - fundSpider.py[line:264] - INFO: 	司南股债稳健组合基本信息爬取成功
2022-10-26  14:21:46 - fundSpider.py[line:314] - INFO: 	司南股债稳健组合区间收益信息爬取成功
2022-10-26  14:21:46 - fundSpider.py[line:324] - WARNING: 司南股债稳健组合无持仓分布详细信息
2022-10-26  14:21:46 - fundSpider.py[line:378] - INFO: 	司南股债稳健组合调仓历史信息爬取成功
2022-10-26  14:21:47 - fundSpider.py[line:400] - INFO: 	司南股债稳健组合备选基金信息入库成功
2022-10-26  14:21:47 - fundSpider.py[line:420] - INFO: 	司南股债稳健组合日收益信息入库成功

2022-10-26  14:21:47 - fundSpider.py[line:264] - INFO: 	司南股债进取成长组合基本信息爬取成功
2022-10-26  14:21:47 - fundSpider.py[line:314] - INFO: 	司南股债进取成长组合区间收益信息爬取成功
